Cluster,Canonical_Slug,Slug,Traffic
/t/elon-musk,/t/elon-musk-en-us,/t/elon-musk-en-us,17525
/t/elon-musk,/t/elon-musk-en-us,/t/elon-musk-en-gb,15
/t/elon-musk,/t/elon-musk-en-us,/t/elon-musk-en-in,0
/t/elon-musk,/t/elon-musk-en-us,/t/elon-musk-en-au,0
/t/elon-musk,/t/elon-musk-en-us,/t/elon-musk-en-ca,0
/t/entertainment,/t/entertainment-11,/t/entertainment-11,13270
/t/entertainment,/t/entertainment-11,/t/entertainment-12,4
/t/entertainment,/t/entertainment-11,/t/entertainment-14,0
/t/entertainment,/t/entertainment-11,/t/entertainment-10,0
/t/entertainment,/t/entertainment-11,/t/entertainment-19,0
/t/entertainment,/t/entertainment-11,/t/entertainment-16,0
/t/entertainment,/t/entertainment-11,/t/entertainment-18,0
/t/entertainment,/t/entertainment-11,/t/entertainment-13,0
/t/entertainment,/t/entertainment-11,/t/entertainment-15,0
/t/entertainment,/t/entertainment-11,/t/entertainment-17,0
/t/send-molly-nobilitt-to-jail,/t/send-molly-nobilitt-to-jail-en-us,/t/send-molly-nobilitt-to-jail-en-us,12421
/t/animal-rights-and-conservation,/t/animal-rights-and-conservation-en-us,/t/animal-rights-and-conservation-en-us,12152
/t/animal-rights-and-conservation,/t/animal-rights-and-conservation-en-us,/t/animal-rights-and-conservation-en-gb,6
/t/animal-rights-and-conservation,/t/animal-rights-and-conservation-en-us,/t/animal-rights-and-conservation-en-ca,3
/t/animal-rights-and-conservation,/t/animal-rights-and-conservation-en-us,/t/animal-rights-and-conservation-en-au,2
/t/animal-rights-and-conservation,/t/animal-rights-and-conservation-en-us,/t/animal-rights-and-conservation-en-in,0
/t/women-s-rights,/t/women-s-rights-en-us,/t/women-s-rights-en-us,10605
/t/women-s-rights,/t/women-s-rights-en-us,/t/women-s-rights-13,12
/t/women-s-rights,/t/women-s-rights-en-us,/t/women-s-rights-11,7
/t/women-s-rights,/t/women-s-rights-en-us,/t/women-s-rights-8,7
/t/women-s-rights,/t/women-s-rights-en-us,/t/women-s-rights-12,3
/t/women-s-rights,/t/women-s-rights-en-us,/t/women-s-rights-10,0
/t/women-s-rights,/t/women-s-rights-en-us,/t/women-s-rights-7,0
/t/women-s-rights,/t/women-s-rights-en-us,/t/women-s-rights-14,0
/t/women-s-rights,/t/women-s-rights-en-us,/t/women-s-rights-15,0
/t/congressional-integrity,/t/congressional-integrity-en-us,/t/congressional-integrity-en-us,8022
/t/abortion-access,/t/abortion-access-en-us,/t/abortion-access-en-us,6111
/t/free-speech,/t/free-speech-en-us,/t/free-speech-en-us,5601
/t/free-speech,/t/free-speech-en-us,/t/free-speech-en-ca,0
/t/free-speech,/t/free-speech-en-us,/t/free-speech-en-in,0
/t/free-speech,/t/free-speech-en-us,/t/free-speech-4,0
/t/free-speech,/t/free-speech-en-us,/t/free-speech-3,0
/t/gavin-newsom,/t/gavin-newsom-en-us,/t/gavin-newsom-en-us,4651
/t/gavin-newsom,/t/gavin-newsom-en-us,/t/gavin-newsom-en-au,0
/t/gavin-newsom,/t/gavin-newsom-en-us,/t/gavin-newsom-en-gb,0
/t/aubreigh-wyatt,/t/aubreigh-wyatt-en-us,/t/aubreigh-wyatt-en-us,4243
/t/v2k,/t/v2k-en-us,/t/v2k-en-us,3572
/t/criminal-justice-en-US,/t/criminal-justice-en-US,/t/criminal-justice-en-US,3265
/t/human-rights-iran,/t/human-rights-iran-en-us,/t/human-rights-iran-en-us,2697
/t/human-rights-iran,/t/human-rights-iran-en-us,/t/human-rights-iran-en-ca,0
/t/human-rights-iran,/t/human-rights-iran-en-us,/t/human-rights-iran-en-gb,0
/t/government-and-politics,/t/government-and-politics-en-us,/t/government-and-politics-en-us,2300
/t/government-and-politics,/t/government-and-politics-en-us,/t/government-and-politics-en-gb,35
/t/government-and-politics,/t/government-and-politics-en-us,/t/government-and-politics-en-ca,7
/t/government-and-politics,/t/government-and-politics-en-us,/t/government-and-politics-en-in,6
/t/government-and-politics,/t/government-and-politics-en-us,/t/government-and-politics-en-au,0
/t/plexile-arcade,/t/plexile-arcade-en-us,/t/plexile-arcade-en-us,2089
/t/boycott-trump-products,/t/boycott-trump-products-en-us,/t/boycott-trump-products-en-us,2073
/t/therian-schools,/t/therian-schools-en-us,/t/therian-schools-en-us,2026
/t/environment,/t/environment-12,/t/environment-12,1911
/t/environment,/t/environment-12,/t/environment-18,11
/t/environment,/t/environment-12,/t/environment-en-au,7
/t/environment,/t/environment-12,/t/environment-en-gb,7
/t/environment,/t/environment-12,/t/environment-en-ca,2
/t/environment,/t/environment-12,/t/environment-11,0
/t/environment,/t/environment-12,/t/environment-32,0
/t/environment,/t/environment-12,/t/environment-23,0
/t/environment,/t/environment-12,/t/environment-19,0
/t/environment,/t/environment-12,/t/environment-20,0
/t/environment,/t/environment-12,/t/environment-21,0
/t/environment,/t/environment-12,/t/environment-26,0
/t/environment,/t/environment-12,/t/environment-14,0
/t/environment,/t/environment-12,/t/environment-30,0
/t/environment,/t/environment-12,/t/environment-16,0
/t/environment,/t/environment-12,/t/environment-22,0
/t/environment,/t/environment-12,/t/environment-33,0
/t/environment,/t/environment-12,/t/environment-25,0
/t/environment,/t/environment-12,/t/environment-28,0
/t/environment,/t/environment-12,/t/environment-24,0
/t/environment,/t/environment-12,/t/environment-29,0
/t/environment,/t/environment-12,/t/environment-31,0
/t/environment,/t/environment-12,/t/environment-27,0
/t/twitter,/t/twitter-en-us,/t/twitter-en-us,1875
/t/twitter,/t/twitter-en-us,/t/twitter-en-au,2
/t/twitter,/t/twitter-en-us,/t/twitter-en-ca,0
/t/twitter,/t/twitter-en-us,/t/twitter-6,0
/t/twitter,/t/twitter-en-us,/t/twitter-7,0
/t/twitter,/t/twitter-en-us,/t/twitter-9,0
/t/twitter,/t/twitter-en-us,/t/twitter-en-in,0
/t/twitter,/t/twitter-en-us,/t/twitter-5,0
/t/justice-for-aubreigh-wyatt,/t/justice-for-aubreigh-wyatt-en-us,/t/justice-for-aubreigh-wyatt-en-us,1840
/t/celebrities,/t/celebrities,/t/celebrities,1812
/t/celebrities,/t/celebrities,/t/celebrities-en-au,3
/t/celebrities,/t/celebrities,/t/celebrities-en-ca,0
/t/celebrities,/t/celebrities,/t/celebrities-en-gb,0
/t/celebrities,/t/celebrities,/t/celebrities-2,0
/t/washington-redskins,/t/washington-redskins-en-us,/t/washington-redskins-en-us,1798
/t/chuck-schumer,/t/chuck-schumer,/t/chuck-schumer,1735
/t/luigi-mangione,/t/luigi-mangione-en-us,/t/luigi-mangione-en-us,1691
